"SITE","LINE","PLC_STATION_ID","ORDER","SFC","TXNTYPE","REASON_CODE","START_DATE_TIME","END_DATE_TIME","TXN_VARIANT_CODE","TXN_VARIANT_DATA","PRE_WEIGHT","POST_WEIGHT","STATUS","ACTIVITY","CREATED_BY","CREATED_DATE_TIME","MODIFIED_DATE_TIME","RETRY_COUNT"
"1297","L1_SA_SU","7","SU01","00201908SU-00010",1,60,"15-AUG-2019 12:32:51","15-AUG-2019 12:32:59","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00010",1,70,"15-AUG-2019 12:36:31","15-AUG-2019 12:36:41","","",963,963,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00011",1,1,"15-AUG-2019 12:30:52","15-AUG-2019 12:30:56","1"," E02B0040002A33C",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00011",1,10,"15-AUG-2019 12:31:03","15-AUG-2019 12:31:17","","",0,204,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00011",1,20,"15-AUG-2019 12:31:25","15-AUG-2019 12:31:41","","",204,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00011",1,30,"15-AUG-2019 12:32:26","15-AUG-2019 12:32:43","","",661,661,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00011",1,40,"15-AUG-2019 12:33:17","15-AUG-2019 12:33:35","","",661,964,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00011",2,53,"15-AUG-2019 12:33:47","15-AUG-2019 12:33:48","","",964,964,"SUCCESS","SFC_SCRAP","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00012",1,1,"15-AUG-2019 12:32:06","15-AUG-2019 12:32:10","1"," E02B0040002A339",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00012",1,10,"15-AUG-2019 12:32:18","15-AUG-2019 12:32:34","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00012",1,20,"15-AUG-2019 12:32:45","15-AUG-2019 12:33:03","","",203,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00012",1,30,"15-AUG-2019 12:33:29","15-AUG-2019 12:33:46","","",660,660,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00012",1,40,"15-AUG-2019 12:35:07","15-AUG-2019 12:35:23","","",660,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00012",1,50,"15-AUG-2019 12:35:41","15-AUG-2019 12:35:52","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00012",1,60,"15-AUG-2019 12:36:18","15-AUG-2019 12:36:27","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00012",1,70,"15-AUG-2019 12:37:58","15-AUG-2019 12:38:08","","",962,962,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","1","SU01","00201908SU-00013",1,1,"15-AUG-2019 12:33:37","15-AUG-2019 12:33:41","1"," E02B0040002A330",0,0,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","2","SU01","00201908SU-00013",1,10,"15-AUG-2019 12:33:50","15-AUG-2019 12:34:06","","",0,203,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","3","SU01","00201908SU-00013",1,20,"15-AUG-2019 12:34:15","15-AUG-2019 12:34:29","","",203,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","4","SU01","00201908SU-00013",1,30,"15-AUG-2019 12:36:10","15-AUG-2019 12:36:27","","",662,662,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","5","SU01","00201908SU-00013",1,40,"15-AUG-2019 12:36:39","15-AUG-2019 12:36:55","","",662,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","6","SU01","00201908SU-00013",1,50,"15-AUG-2019 12:37:10","15-AUG-2019 12:37:21","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","7","SU01","00201908SU-00013",1,60,"15-AUG-2019 12:37:44","15-AUG-2019 12:37:54","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
"1297","L1_SA_SU","8","SU01","00201908SU-00013",1,70,"15-AUG-2019 12:39:13","15-AUG-2019 12:39:23","","",965,965,"SUCCESS","SFC_COMPLETE","MESYS",15-AUG-19,15-AUG-19,9
